model	nDCG	MAP	MRR	Precision	Recall	F1	HR
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$001	0.006864920054822382	0.0025033952402373455	0.007104192104192103	0.002105263157894737	0.011321587133944114	0.00338668476082146	0.02078272604588394
ConvNeuMF_seed=42_e=30_bs=16_lr=0$001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$0001	0.009124670624696579	0.003136773557826189	0.009576719576719578	0.002699055330634278	0.014505494505494505	0.0043598351671702475	0.026720647773279354
ConvNeuMF_seed=42_e=30_bs=16_lr=0$001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$001	0.009727345206866165	0.003719523166891588	0.011168948011053274	0.002968960863697706	0.01547635600267179	0.00476398030787547	0.029149797570850202
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$01	0.008464617393538437	0.0035561553456290294	0.010448021763811238	0.0025101214574898786	0.012567101514469936	0.004051841569420943	0.024831309041835357
ConvNeuMF_seed=42_e=30_bs=16_lr=0$001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$001	0.008053290984022557	0.0032460960092539045	0.009515776621039779	0.0028070175438596493	0.013518900372447282	0.004395238580758944	0.02699055330634278
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$0001	0.009007102230547747	0.0034813422445001394	0.01074074074074074	0.0025371120107962218	0.013394551037571634	0.004102328171154083	0.025101214574898785
ConvNeuMF_seed=42_e=30_bs=32_lr=0$001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$001	0.009086615735032857	0.0037268920163657003	0.011141636141636142	0.002860998650472335	0.013980249769723454	0.004564076813735253	0.02834008097165992
ConvNeuMF_seed=42_e=30_bs=16_lr=0$001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$001	0.009670682447468559	0.0037032538611485983	0.011260523102628366	0.002645074224021593	0.01455347771137245	0.0043028009070675876	0.026180836707152495
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$0001	0.007606561049738286	0.00299297388771073	0.008702846860741598	0.002645074224021593	0.013333975965554913	0.004247949222943269	0.026180836707152495
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$01	0.009522241035737709	0.0035368228262965106	0.010825568193989245	0.002699055330634278	0.01530241688136425	0.00439840523848621	0.02699055330634278
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$0001	0.00803881717316061	0.0031680376154060367	0.00976019107598055	0.0024021592442645076	0.012711491407143581	0.003781170163046801	0.023751686909581647
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$001	0.007555792829281012	0.002869288606130712	0.008184456868667395	0.002348178137651822	0.012400552663710557	0.003788900099926535	0.022672064777327937
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$001	0.011276012532065886	0.004449049975365766	0.013339331234068075	0.002968960863697706	0.016453098558361717	0.0048297383570819604	0.029149797570850202
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0001_l_b=0$001	0.00680163391767129	0.0026605188184135554	0.007913694492641862	0.002240215924426451	0.011762740183792815	0.0035951455158409196	0.02186234817813765
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$0001	0.008673652168990577	0.003179315810894758	0.009430949167791271	0.0028070175438596498	0.015050076629023997	0.004526989575215343	0.02726045883940621
ConvNeuMF_seed=42_e=30_bs=32_lr=0$001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$0001	0.008969817757137349	0.0034579718527086947	0.01033095559411349	0.002995951417004049	0.014457297088876038	0.004716549149496844	0.028879892037786774
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$01	0.00841941940043883	0.0031923291133817452	0.009336482231219074	0.002699055330634278	0.014236029247470895	0.0042993095523459895	0.026450742240215923
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$01	0.008941651254950894	0.0034091960670908036	0.010470299680825995	0.002699055330634278	0.01397024028602976	0.004307389861688504	0.02699055330634278
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$001	0.007432116208461096	0.0028704667652036074	0.008921556026819186	0.002240215924426451	0.011538461538461539	0.0035696152700201286	0.022132253711201078
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$001	0.006294985746827174	0.0023950153160679473	0.007002013580960949	0.002186234817813765	0.01141877615561826	0.00351532792561985	0.021592442645074223
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$01	0.007784512925829275	0.0030504680504680505	0.008999635841741103	0.002348178137651822	0.012049461259987576	0.0037614374078569815	0.022941970310391364
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$0001	0.007649161377043365	0.0028904954694428378	0.008385922070132596	0.002645074224021593	0.01330961436224594	0.004229909766347013	0.026180836707152495
ConvNeuMF_seed=42_e=30_bs=32_lr=0$0005_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$001	0.008298975451533535	0.0030005033952402375	0.008991067412120045	0.0027260458839406206	0.014559904033588244	0.004451356584320574	0.02699055330634278
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0001_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$001	0.012383780885149687	0.004684189105241737	0.014026626395047448	0.003778677462887989	0.019866774889658184	0.006099660297401614	0.03697705802968961
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0001_embedding_size=32_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$0005_l_b=0$001	0.010248436376652296	0.004032078058393848	0.011975344343765397	0.002968960863697706	0.0157085020242915	0.004862492433342636	0.029689608636977057
ConvNeuMF_seed=42_e=30_bs=16_lr=0$0005_embedding_size=16_cnn_channels=1-16-16_cnn_kernels=2-2_cnn_strides=2-2_dropout_prob=0$7_l_w=0$001_l_b=0$001	0.007779338518104172	0.003119304671936251	0.009311312469207206	0.0024831309041835363	0.012498232761390655	0.003959325968450948	0.024831309041835357
